Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col26,Col22,Col23,Col24
0,0,0,40,192,418,455,320,148,53,7,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,26,163,436,508,326,134,40,9,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,18,186,375,498,359,167,42,12,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,26,152,414,480,370,169,60,11,3,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,25,148,411,559,411,191,66,13,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,19,147,381,503,430,204,62,15,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16,129,394,518,408,209,80,21,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,16,141,360,545,484,236,88,20,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12,113,334,508,460,243,81,27,7,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,104,370,538,516,275,85,29,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12,101,311,540,514,307,110,34,7,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,98,346,501,537,314,127,39,11,3,1,0,0,0,0,0,0,0,0,0,0
0,0,0,6,89,297,528,549,340,125,37,9,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,4,82,313,517,566,352,131,39,9,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,73,260,511,564,361,137,48,7,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,71,286,503,572,387,169,62,10,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,5,56,246,535,576,393,205,61,18,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,47,234,496,664,412,205,54,16,7,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,46,208,468,667,433,234,66,13,4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,46,231,448,584,492,222,72,23,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,26,191,444,632,414,241,93,23,6,1,0,0,0,0,0,0,0,0,0,0
0,0,0,2,20,177,493,630,505,250,83,20,5,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,33,169,418,621,550,293,94,30,8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,23,165,381,654,539,320,110,28,5,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,18,130,377,642,561,285,118,33,7,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,12,143,364,625,575,294,129,32,7,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14,119,372,624,585,343,140,40,7,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16,114,370,620,619,395,142,37,10,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,16,92,314,637,622,401,150,39,6,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,8,73,341,561,589,401,163,47,13,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,84,316,638,613,389,189,52,13,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,74,245,551,680,457,188,63,12,2,1,0,0,0,0,0,0,0,0,0
0,0,0,0,3,68,248,615,654,469,229,55,16,3,2,0,0,0,0,0,0,0,0,0
0,0,0,0,3,57,241,505,649,444,235,58,18,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,42,215,529,637,452,263,93,17,6,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,42,219,499,672,455,191,71,26,6,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,38,186,494,649,492,255,79,23,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,36,178,496,655,571,249,102,33,9,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,21,137,481,638,545,278,112,42,10,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,26,153,367,672,557,300,106,38,7,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,16,139,422,654,556,307,118,36,11,4,0,0,0,0,0,0,0,0,0
0,0,0,0,1,11,127,386,623,573,333,132,34,9,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,11,116,348,598,555,329,151,50,12,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,13,98,358,625,570,364,135,43,10,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,9,100,327,570,601,385,151,47,14,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8,81,329,596,631,384,175,58,12,2,1,0,0,0,0,0,0,0,0
0,0,0,0,0,6,65,322,584,620,414,171,48,16,3,1,0,0,0,0,0,0,0,0
0,0,0,0,0,4,80,253,588,585,411,169,65,20,4,1,0,0,0,0,0,0,0,0
0,0,0,0,0,4,55,258,583,630,423,210,44,10,2,2,0,0,0,0,0,0,0,0
0,0,0,0,0,6,55,229,481,584,394,210,65,17,2,1,0,0,0,0,0,0,0,0
0,0,0,0,0,2,41,236,531,615,433,216,79,16,5,1,0,0,0,0,0,0,0,0
0,0,0,0,1,3,31,194,492,602,415,241,80,16,2,3,0,0,0,0,0,0,0,0
0,0,0,0,0,3,29,195,479,580,487,239,88,28,5,2,1,0,0,0,0,0,0,0
0,0,0,0,0,2,32,163,463,606,472,256,101,15,8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,26,154,422,612,469,240,100,26,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,24,157,381,573,453,266,106,33,2,2,2,0,0,0,0,0,0,0
0,0,0,0,0,0,19,133,384,537,501,283,113,20,12,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,13,133,387,576,460,301,140,37,12,4,1,0,0,0,0,0,0,0
0,0,0,0,0,1,14,86,339,553,499,291,110,27,16,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,13,83,320,565,484,297,138,40,13,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,100,301,483,537,338,147,41,14,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,8,59,274,533,502,330,130,48,8,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,11,59,250,492,500,322,159,64,13,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,57,257,457,438,334,163,49,8,5,2,0,0,0,0,0,0,0
0,0,0,0,0,0,6,53,245,466,479,342,166,63,19,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,3,50,226,453,460,367,185,56,15,2,1,0,0,0,0,0,0,0
0,0,0,0,0,0,2,27,197,413,479,357,181,69,12,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,35,184,364,460,364,190,62,14,3,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,25,159,379,468,361,232,74,22,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,27,112,390,439,365,229,70,24,8,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,28,138,324,455,391,225,88,23,10,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,19,127,319,435,345,191,107,24,7,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,16,99,275,394,400,223,90,31,5,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,13,95,274,403,362,214,83,22,9,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,12,88,251,410,372,208,92,26,8,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9,68,261,416,365,233,126,43,10,2,1,0,0,0,0,0,0
0,0,0,0,0,0,0,4,69,196,411,372,236,106,36,9,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,5,58,199,353,346,259,103,39,9,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,59,175,392,351,251,118,41,9,2,2,1,0,0,0,0,0
0,0,0,0,0,0,1,5,53,161,332,363,261,129,42,9,4,2,0,0,0,0,0,0
0,0,0,0,0,0,0,9,47,170,328,339,287,143,42,18,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,28,163,292,346,273,148,52,10,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,26,133,286,368,261,116,53,18,5,2,0,0,0,0,0,0
0,0,0,0,0,0,0,2,26,128,243,316,255,129,54,21,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,24,107,263,338,265,154,56,16,2,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,19,113,262,310,278,146,58,11,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,14,81,231,333,227,147,67,21,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,19,83,217,327,267,133,60,21,7,1,0,0,0,0,0,0
0,0,0,0,0,0,0,2,9,75,219,302,287,154,67,20,6,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9,83,187,297,271,167,62,18,7,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,67,203,295,245,164,55,27,6,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,50,154,274,255,151,65,27,8,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,5,53,154,256,277,168,74,22,4,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,44,143,251,260,167,85,19,12,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,28,138,263,257,161,86,26,9,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6,38,121,230,244,139,82,28,9,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,30,122,236,240,187,81,32,9,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,31,97,173,241,171,73,32,10,2,1,0,0,0,0,0
0,0,0,0,0,0,0,0,5,33,74,178,230,179,88,34,4,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,17,85,183,211,167,83,42,10,4,3,0,0,0,0,0
0,0,0,0,0,0,0,0,2,19,68,188,193,172,81,28,15,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,13,87,147,190,177,113,35,11,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16,70,153,188,162,96,41,12,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,58,142,200,182,99,28,9,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,52,119,183,156,114,30,9,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,7,50,107,188,172,96,44,10,1,2,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,35,112,174,157,104,34,4,4,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,28,117,175,136,105,37,25,6,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,5,36,117,172,160,101,49,12,3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,26,114,149,158,98,44,17,3,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5,24,96,151,149,103,48,18,2,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,9,62,173,138,97,42,22,7,2,3,0,0,0,0
0,0,0,0,0,0,0,0,0,6,14,71,139,133,85,51,18,8,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,21,57,130,140,106,50,21,7,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,10,48,117,149,100,52,20,6,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,56,123,131,81,59,24,6,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,14,48,91,128,99,48,18,5,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,12,45,107,122,96,60,31,10,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,10,49,73,119,105,49,20,8,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,32,100,113,91,58,26,6,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,30,75,107,86,70,28,11,4,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,29,77,111,88,63,29,6,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,25,66,84,77,61,25,11,4,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,2,16,58,108,86,61,37,8,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,21,64,84,95,56,31,14,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,16,59,82,73,61,24,9,1,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,22,38,70,83,56,25,10,4,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,16,51,69,73,64,24,12,6,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,23,34,71,64,57,28,13,9,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,15,29,74,68,67,27,7,5,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,10,34,73,93,71,22,9,3,4,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,8,29,55,65,56,25,8,6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,8,25,48,71,41,24,12,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,5,20,56,71,56,32,10,2,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,6,20,49,64,54,41,17,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,13,50,59,35,22,15,4,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,21,41,61,44,31,7,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,12,34,65,52,27,8,3,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,15,31,43,34,24,14,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,13,30,42,43,28,15,2,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,15,26,48,39,25,11,6,0,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,25,46,42,30,11,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10,29,51,39,32,10,5,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,4,23,43,46,23,9,5,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,23,34,31,29,12,2,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,2,2,21,33,34,27,16,3,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,22,27,47,33,23,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3,5,19,33,36,27,11,2,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,17,24,37,26,17,4,2,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,2,15,20,32,24,15,7,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,3,5,22,30,35,7,10,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,29,27,17,8,7,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,3,12,17,21,26,16,9,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,5,16,27,13,9,14,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,27,21,13,9,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,22,26,10,8,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,3,17,23,15,15,4,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,21,21,14,2,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,13,17,14,4,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,11,17,9,9,3,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,19,16,6,5,4,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12,14,10,7,3,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,12,20,13,4,3,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,18,15,13,4,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,11,12,5,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,21,14,10,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,9,8,2,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,14,10,8,2,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,11,10,7,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,12,14,7,5,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,10,6,13,2,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,10,11,10,7,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,13,3,3,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,7,5,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,4,7,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,9,7,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,8,4,4,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,7,5,3,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,7,5,3,4,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,4,2,0,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,5,2,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,6,1,2,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,2,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,1,3,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,1,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,8,3,0,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,2,3,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,4,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,5,4,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,3,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,4,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,1,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
