Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15
0,0,0,28,277,919,1693,1834,1265,593,211,36,9,2,0
0,0,0,28,209,944,1667,1829,1334,668,209,59,9,2,0
0,0,0,16,242,915,1741,1885,1386,628,253,67,15,2,0
0,0,0,18,232,910,1741,1924,1463,748,271,70,15,1,0
0,0,0,14,244,868,1713,2066,1520,787,273,80,16,2,0
0,0,0,13,195,847,1700,2109,1626,838,323,89,14,4,0
0,0,0,15,199,861,1799,2082,1664,919,348,77,19,5,0
0,0,0,17,203,793,1716,2213,1788,967,349,108,22,3,1
0,0,0,9,181,756,1726,2240,1928,979,435,118,29,5,1
0,0,0,9,154,763,1769,2287,1919,1114,416,120,28,4,0
0,0,0,10,167,741,1721,2343,1995,1111,499,167,26,5,0
0,0,0,9,142,761,1798,2332,2043,1260,519,152,41,7,3
0,0,0,6,138,731,1728,2371,2147,1289,567,155,43,9,2
0,0,0,6,124,691,1702,2499,2157,1296,572,200,40,8,2
0,0,0,2,128,706,1688,2453,2410,1418,627,199,60,11,1
0,0,0,5,113,664,1669,2490,2442,1534,668,244,60,10,1
0,0,0,3,115,626,1682,2605,2457,1606,750,251,58,11,2
0,0,0,1,98,621,1641,2545,2527,1648,770,275,61,12,3
0,0,0,3,94,577,1588,2589,2663,1715,825,284,64,22,1
0,0,0,1,94,547,1585,2710,2673,1923,891,329,101,19,5
0,0,0,0,79,544,1573,2586,2774,1953,946,352,96,26,3
0,0,0,1,62,488,1606,2722,2854,1968,994,353,109,32,5
0,0,0,0,69,492,1555,2695,2952,2048,1048,377,117,24,5
0,0,0,1,54,465,1522,2673,2944,2188,1146,392,117,24,2
0,0,0,0,55,440,1515,2698,3028,2221,1214,463,128,31,3
0,0,0,1,53,406,1390,2675,3126,2354,1258,486,158,45,8
0,0,0,0,38,449,1384,2573,3189,2482,1303,518,147,39,5
0,0,0,0,40,419,1319,2655,3184,2526,1382,551,183,45,4
0,0,0,0,39,362,1416,2696,3399,2533,1549,602,196,38,6
0,0,0,0,29,347,1286,2639,3322,2776,1605,657,216,62,9
0,0,0,0,37,305,1300,2678,3303,2765,1588,701,235,74,4
0,0,0,0,26,280,1222,2669,3441,2934,1712,744,228,69,12
0,0,0,0,19,280,1164,2626,3395,2974,1719,821,269,61,11
0,0,0,0,16,277,1188,2633,3491,2990,1871,816,295,83,13
0,0,0,0,13,250,1086,2533,3495,3121,1918,854,295,91,13
0,0,0,0,23,216,1097,2625,3515,3171,2050,946,319,110,11
0,0,0,0,15,218,1010,2495,3521,3193,2149,987,315,116,27
0,0,0,0,11,210,978,2541,3561,3450,2180,1046,396,104,20
0,0,0,0,11,176,930,2504,3600,3486,2269,1160,418,105,24
0,0,0,0,10,163,930,2289,3666,3560,2434,1152,417,128,31
0,0,0,0,11,154,862,2411,3662,3815,2500,1221,490,142,26
0,0,0,0,9,157,899,2342,3668,3650,2536,1303,510,150,31
0,0,0,0,9,143,817,2313,3614,3822,2604,1312,531,162,39
0,0,0,0,6,136,790,2225,3551,3815,2769,1457,621,187,38
0,0,0,0,6,111,816,2144,3626,3807,2859,1537,631,168,44
0,0,0,0,3,109,709,2137,3518,3927,2898,1743,624,204,56
0,0,0,0,2,99,674,2110,3608,4043,3027,1732,734,209,54
0,0,0,0,1,95,616,2012,3660,4102,3188,1767,727,239,76
0,0,0,0,0,103,576,1972,3573,4251,3255,1806,798,251,73
0,0,0,0,1,82,588,1900,3573,4153,3316,1962,822,274,74
0,0,0,0,1,68,517,1883,3573,4157,3291,1892,852,297,79
0,0,0,0,1,65,524,1818,3545,4234,3488,2126,905,321,79
0,0,0,0,1,52,485,1788,3438,4304,3596,2184,993,326,98
0,0,0,0,0,49,425,1652,3418,4345,3612,2211,1067,355,97
0,0,0,0,0,51,425,1622,3326,4340,3893,2338,1072,387,111
0,0,0,0,2,41,430,1521,3313,4289,3791,2420,1108,445,117
0,0,0,0,1,36,385,1509,3228,4427,3864,2508,1269,433,137
0,0,0,0,0,36,364,1405,3140,4382,4022,2632,1260,489,126
0,0,0,0,0,34,383,1427,3104,4412,4091,2701,1373,494,133
0,0,0,0,0,30,311,1336,3118,4428,4144,2691,1388,527,158
0,0,0,0,0,27,316,1296,3090,4365,4248,2936,1424,594,172
0,0,0,0,0,21,268,1218,2896,4225,4187,2967,1499,607,194
0,0,0,0,0,16,249,1206,2990,4385,4231,3059,1643,614,197
0,0,0,0,0,15,232,1149,2943,4347,4351,3197,1675,666,205
0,0,0,0,0,10,211,1080,2793,4305,4429,3272,1737,692,202
0,0,0,0,0,6,216,1001,2706,4345,4481,3375,1712,793,253
0,0,0,0,0,10,203,1027,2693,4274,4574,3421,1905,844,253
0,0,0,0,0,8,135,932,2536,4299,4596,3483,1927,855,284
0,0,0,0,0,7,169,879,2509,4175,4563,3505,2105,921,303
0,0,0,0,0,7,153,862,2467,4132,4508,3607,2172,929,322
0,0,0,0,0,3,150,787,2307,4204,4698,3644,2087,1007,325
0,0,0,0,0,3,123,757,2266,4042,4695,3793,2250,1017,314
0,0,0,0,0,6,121,708,2144,4039,4595,3876,2417,1067,402
0,0,0,0,0,5,121,630,2178,3951,4628,3898,2408,1129,390
0,0,0,0,0,0,94,654,2048,3808,4701,3953,2615,1147,443
0,0,0,0,0,3,99,623,2017,3740,4662,4049,2544,1217,481
0,0,0,0,0,1,92,603,1891,3765,4704,4213,2705,1313,470
0,0,0,0,0,1,89,544,1876,3626,4606,4165,2789,1353,488
0,0,0,0,0,2,64,511,1764,3577,4683,4320,2801,1420,552
0,0,0,0,0,0,54,455,1660,3579,4678,4397,3014,1474,572
0,0,0,0,0,0,67,427,1634,3399,4554,4309,3036,1604,608
0,0,0,0,0,0,50,376,1606,3521,4660,4314,3006,1591,633
0,0,0,0,0,0,46,368,1450,3324,4714,4424,3091,1650,645
0,0,0,0,0,3,30,389,1448,3290,4559,4440,3149,1686,716
0,0,0,0,0,2,44,346,1383,3171,4566,4513,3262,1784,730
0,0,0,0,0,0,34,297,1356,2979,4609,4496,3321,1872,799
0,0,0,0,0,0,25,280,1266,3057,4421,4443,3429,2015,845
0,0,0,0,0,0,33,262,1162,2860,4431,4491,3404,1977,814
0,0,0,0,0,0,15,268,1146,2828,4471,4649,3514,2063,897
0,0,0,0,0,0,9,237,1099,2716,4361,4497,3626,2113,913
0,0,0,0,0,0,23,196,1098,2548,4237,4640,3756,2034,968
0,0,0,0,0,0,22,196,997,2591,4199,4631,3759,2355,1035
0,0,0,0,0,0,15,194,896,2580,4171,4570,3664,2308,1114
0,0,0,0,0,0,11,177,877,2381,4011,4601,3768,2442,1089
0,0,0,0,0,0,5,143,809,2417,4058,4641,3829,2445,1178
0,0,0,0,0,0,9,139,798,2317,3998,4569,3950,2511,1201
0,0,0,0,0,0,4,124,725,2118,3865,4587,4012,2574,1185
0,0,0,0,0,0,6,118,691,2031,3773,4607,4039,2740,1327
0,0,0,0,0,0,3,125,658,1974,3735,4623,4039,2660,1345
0,0,0,0,0,0,1,104,599,1945,3593,4588,4118,2746,1394
0,0,0,0,0,0,7,100,611,1831,3718,4647,4081,2938,1472
0,0,0,0,0,0,3,73,554,1787,3479,4427,4135,2900,1527
0,0,0,0,0,0,2,81,509,1641,3402,4313,4204,2964,1532
0,0,0,0,0,0,2,67,506,1660,3333,4429,4249,2973,1636
0,0,0,0,0,0,3,61,478,1553,3192,4343,4185,3003,1736
0,0,0,0,0,0,1,52,445,1497,3110,4225,4230,3102,1723
0,0,0,0,0,0,0,47,441,1391,3116,4315,4225,3109,1808
0,0,0,0,0,0,2,48,376,1325,2866,4135,4281,3297,1772
0,0,0,0,0,0,0,49,331,1293,2795,4126,4260,3332,1905
0,0,0,0,0,0,0,37,309,1193,2673,4085,4178,3212,1871
0,0,0,0,0,0,1,35,317,1172,2696,4033,4249,3324,1942
0,0,0,0,0,0,1,27,284,1084,2680,3922,4178,3371,2083
0,0,0,0,0,0,1,27,269,1105,2509,3874,4192,3449,2037
0,0,0,0,0,0,1,26,244,966,2474,3853,4276,3505,2093
0,0,0,0,0,0,0,21,215,952,2377,3717,4183,3386,2186
