Value,Count,Proc
242,12138,0.00447916017038
243,11801,0.00435480055781
244,11775,0.00434520604764
245,11522,0.00425184408331
246,11250,0.00415147074615
247,10896,0.00402083780001
248,10524,0.00388356250067
249,10526,0.00388430053991
250,10211,0.00376805935902
251,10110,0.00373078837721
252,9967,0.00367801857128
253,9839,0.00363078405968
254,9247,0.00341232444353
255,8941,0.00329940443923
256,8939,0.00329866639999
257,8627,0.00318353227796
258,8357,0.00308389698005
259,8128,0.00299939148664
260,7911,0.0029193142287
261,7695,0.00283960599037
262,7528,0.00277797971352
263,7206,0.00265915539527
264,7163,0.00264328755153
265,6876,0.00253737892005
266,6642,0.00245102832853
267,6478,0.00239050911054
268,6091,0.00224769851687
269,6091,0.00224769851687
270,5888,0.00217278753363
271,5793,0.00213773066955
272,5596,0.00206503380404
273,5311,0.00195986321181
274,5120,0.00188938046403
275,4861,0.00179380438196
276,4808,0.001774246342
277,4474,0.00165099378829
278,4532,0.00167239692636
279,4134,0.00152552711685
280,4148,0.00153069339156
281,4012,0.00148050672298
282,3804,0.00140375064163
283,3684,0.00135946828701
284,3507,0.00129415181393
285,3457,0.00127570083284
286,3294,0.00121555063447
287,3120,0.00115134122027
288,3052,0.00112624788598
289,2844,0.00104949180463
290,2762,0.00101923219563
291,2696,0.000994876900589
292,2561,0.000945059251636
293,2512,0.000926977290163
294,2257,0.000832877286584
295,2192,0.000808891011162
296,2072,0.000764608656536
297,1993,0.000735456106408
298,1920,0.00070851767401
299,1834,0.000676781986529
300,1784,0.000658331005435
301,1640,0.000605192179884
302,1660,0.000612572572321
303,1489,0.00054947021698
304,1445,0.000533233353617
305,1435,0.000529543157398
306,1299,0.000479356488823
307,1252,0.000462012566594
308,1139,0.000420313349322
309,1152,0.000425110604406
310,997,0.000367912563015
311,1025,0.000378245112427
312,928,0.000342450209105
313,908,0.000335069816667
314,873,0.000322154129902
315,750,0.00027676471641
316,729,0.000269015304351
317,655,0.000241707852332
318,690,0.000254623539097
319,592,0.000218459616153
320,606,0.000223625890859
321,581,0.000214400400312
322,515,0.000190045105268
323,481,0.000177498438124
324,470,0.000173439222284
325,474,0.000174915300771
